Country Name,capita_2018,capita_2017,capita_2016,capita_2015,capita_2014
Monaco,"$185,829","$167,517","$170,029","$166,012","$189,422"
Liechtenstein,"$181,403","$173,356","$165,629","$167,291","$178,846"
Luxembourg,"$116,654","$107,627","$104,278","$101,376","$118,824"
Bermuda,"$113,021","$111,821","$106,886","$102,006","$98,468"
Isle Of Man,"$89,108","$83,490","$82,206","$85,125","$92,335"
Macao,"$87,209","$81,517","$74,061","$75,341","$93,777"
Cayman Islands,"$85,975","$81,302","$78,465","$76,280","$74,990"
Switzerland,"$82,818","$80,450","$80,172","$82,082","$86,606"
Norway,"$81,734","$75,497","$70,459","$74,356","$97,019"
Ireland,"$78,621","$69,822","$63,197","$61,995","$55,493"
Iceland,"$72,969","$71,311","$61,467","$52,564","$54,242"
Singapore,"$66,189","$60,914","$56,828","$55,647","$57,563"
Qatar,"$65,908","$59,125","$57,163","$63,039","$83,858"
Faroe Islands,"$64,270","$60,108","$56,854","$52,405","$59,440"
United States,"$62,996","$60,062","$57,952","$56,839","$55,065"
Denmark,"$61,599","$57,610","$54,664","$53,255","$62,549"
Australia,"$57,355","$54,028","$49,971","$56,756","$62,511"
Sweden,"$54,589","$53,792","$51,965","$51,545","$60,020"
Greenland,"$54,471","$50,321","$48,182","$44,536","$50,485"
Netherlands,"$53,045","$48,675","$46,008","$45,175","$52,830"
Austria,"$51,478","$47,427","$45,277","$44,178","$51,717"
Finland,"$50,031","$46,337","$43,784","$42,785","$50,260"
San Marino,"$48,995","$45,399","$43,827","$42,660","$50,807"
Hong Kong,"$48,543","$46,166","$43,731","$42,432","$40,315"
Germany,"$47,811","$44,553","$42,108","$41,087","$47,960"
Belgium,"$47,583","$44,193","$41,984","$40,992","$47,701"
Canada,"$46,313","$45,149","$42,322","$43,586","$50,893"
UAE,"$43,839","$40,645","$38,142","$38,663","$43,752"
United Kingdom,"$43,043","$40,361","$41,064","$44,975","$47,426"
New Zealand,"$42,950","$42,849","$40,106","$38,616","$44,553"
Andorra,"$41,793","$38,963","$37,475","$35,763","$41,304"
Israel,"$41,720","$40,542","$37,322","$35,777","$37,679"
France,"$41,631","$38,812","$37,037","$36,638","$43,011"
Japan,"$39,159","$38,387","$38,762","$34,524","$38,109"
Guam,"$35,713","$35,616","$35,563","$35,279","$34,394"
Italy,"$34,616","$32,407","$30,940","$30,230","$35,518"
Kuwait,"$33,994","$29,759","$27,653","$29,870","$44,062"
Bahamas,"$33,768","$32,719","$31,563","$31,295","$29,980"
South Korea,"$33,423","$31,617","$29,289","$28,732","$29,250"
Brunei,"$31,628","$28,572","$27,158","$31,165","$41,727"
Puerto Rico,"$31,622","$31,109","$30,627","$29,763","$28,981"
Malta,"$30,437","$28,092","$25,618","$24,922","$26,754"
Spain,"$30,389","$28,170","$26,505","$25,732","$29,462"
Turks And Caicos Islands,"$29,555","$27,546","$28,241","$26,182","$23,780"
Sint Maarten (Dutch Part),"$29,160","$29,369","$31,617","$32,275","$33,044"
Cyprus,"$28,690","$26,339","$24,533","$23,334","$27,130"
Slovenia,"$26,116","$23,513","$21,664","$20,882","$24,215"
Bahrain,"$23,991","$23,743","$22,608","$22,634","$24,989"
Portugal,"$23,563","$21,490","$19,978","$19,242","$22,074"
Czech Republic,"$23,416","$20,636","$18,575","$17,830","$19,891"
Saudi Arabia,"$23,339","$20,804","$19,879","$20,628","$24,464"
Northern Mariana Islands,"$23,259","$28,305","$22,247","$16,691","$15,279"
Estonia,"$23,171","$20,458","$18,437","$17,522","$20,367"
Greece,"$20,324","$18,930","$18,116","$18,168","$21,761"
Curacao,"$19,574","$19,458","$19,555","$19,951","$20,258"
Slovak Republic,"$19,406","$17,557","$16,509","$16,311","$18,674"
St. Kitts And Nevis,"$19,277","$19,159","$18,810","$18,029","$18,051"
Lithuania,"$19,176","$16,885","$14,998","$14,258","$16,565"
Latvia,"$17,858","$15,682","$14,316","$13,775","$15,714"
Barbados,"$17,745","$17,391","$16,900","$16,525","$16,489"
Uruguay,"$17,278","$17,322","$15,387","$15,614","$16,832"
Trinidad And Tobago,"$17,130","$16,238","$16,177","$18,290","$20,271"
Antigua And Barbuda,"$16,673","$15,383","$15,198","$14,286","$13,502"
Oman,"$16,521","$15,131","$14,619","$16,029","$20,035"
Hungary,"$16,410","$14,606","$13,091","$12,707","$14,267"
Seychelles,"$16,391","$15,906","$15,069","$14,745","$14,700"
Chile,"$15,925","$14,999","$13,754","$13,574","$14,671"
Palau,"$15,661","$16,066","$16,647","$15,876","$13,711"
Panama,"$15,593","$15,150","$14,344","$13,630","$12,796"
Poland,"$15,468","$13,865","$12,447","$12,578","$14,271"
Croatia,"$15,014","$13,452","$12,361","$11,782","$13,599"
Romania,"$12,400","$10,808","$9,549","$8,969","$10,044"
Costa Rica,"$12,112","$11,815","$11,666","$11,299","$10,547"
Argentina,"$11,633","$14,613","$12,790","$13,789","$12,335"
American Samoa,"$11,467","$10,823","$11,697","$11,843","$11,507"
Malaysia,"$11,377","$10,259","$9,818","$9,955","$11,319"
Russia,"$11,371","$10,720","$8,705","$9,313","$14,096"
St. Lucia,"$11,358","$11,047","$10,362","$10,094","$9,844"
Mauritius,"$11,208","$10,485","$9,682","$9,260","$10,154"
Grenada,"$10,486","$10,153","$9,628","$9,097","$8,370"
Maldives,"$10,277","$9,578","$9,209","$9,033","$8,499"
Equatorial Guinea,"$10,144","$9,668","$9,250","$11,283","$19,394"
China,"$9,977","$8,879","$8,148","$8,067","$7,679"
Kazakhstan,"$9,813","$9,248","$7,715","$10,511","$12,807"
