title,rating,score,vote,type,director,writter,duration,release date,release country,location,reviews,storyline,budget,Opening weekend USA,gross,Cumulate Worldwide Gross,runtime,sound Mix,Color,Aspect Ratio
Hababam Sinifi,9.3,xxx,38.083,Comedy; Drama,Ertem Egilmez,Umur Bugay,1h 27min,April 1975 ,Turkey,Camlica; Istanbul; Turkey,64,"Lazy, uneducated students share a very close bond. They live together in the dormitory, where they plan their latest pranks. When a new headmaster arrives, the students naturally try to overthrow him. A comic war of nitwits follows.",xxx,xxx,xxx,xxx,87 min,xxx,xxx,xxx
Les Évadés,9.3,80,2.387.274,Drama,Frank Darabont,Stephen King,2h 22min,1 March 199, (France,Sandy Point; St. Croix; U.S. Virgin Islands,9034,"Chronicles the experiences of a formerly successful banker as a prisoner in the gloomy jailhouse of Shawshank after being found guilty of a crime he did not commit. The film portrays the man's unique way of dealing with his new, torturous life; along the way he befriends a number of fellow prisoners, most notably a wise long-term inmate named Red.",xxx,xxx,$28.34M,xxx,142 min,Dolby Digital,Color,1.85 : 1
Le parrain,9.2,100,1.654.566,Crime; Drama,Francis Ford Coppola,Mario Puzo,2h 55min,18 October ,972 (France,NY Eye and Ear Infirmary; 2nd Avenue & East 13th Street; New York City; New York; USA,4390,"The Godfather ""Don"" Vito Corleone is the head of the Corleone mafia family in New York. He is at the event of his daughter's wedding. Michael, Vito's youngest son and a decorated WW II Marine is also present at the wedding. Michael seems to be uninterested in being a part of the family business. Vito is a powerful man, and is kind to all those who give him respect but is ruthless against those who do not. But when a powerful and treacherous rival wants to sell drugs and needs the Don's influence for the same, Vito refuses to do it. What follows is a clash between Vito's fading old values and the new ways which may cause Michael to do the thing he was most reluctant in doing and wage a mob war against all the other mafia families which could tear the Corleone family apart.",xxx,xxx,xxx,xxx,175 min,"DTS
(re-release)| Mono","Color
(Technicolor)",1.85 : 1
Aloko Udapadi,9.1,xxx,6.662,Drama; History,Chathra Weeraman,Saman Weeraman,1h 53min,20 January ,017 (Sri Lanka,See more,32,"Aloko Udapadi (Light Arose) is an Epic Film of the unswerving human effort, to record for all time, a unique spiritual heritage. In 89 BC, King Walagamba of Sinhala kingdom (present day Sri lanka), was troubled by power-hungry forces from within and from outside, which compelled him to abandon throne and flee with a hope of returning back to power. A severe drought and a subsequent famine assailed the land for twelve unbroken years. Buddhist Monks who perpetuated Lord Buddha's word by oral tradition, could not survive the harsh conditions. The monks were troubled both by the enemy and the famine. In these dark days, the loyal subjects protected their King. Enemy leaders killed each other for power and wealth. Well armed, the King dealt a deadly blow and regained the rule and brought back the freedom the natives lost. In peace and prosperity, the monks facing the challenge wrote down the oral tradition. The Buddha's compassionate teaching became an irreducible component of the whole of...",xxx,xxx,xxx,xxx,113 min,xxx,xxx,xxx
Aynabaji,9.1,xxx,23.649,Crime; Mystery;,Amitabh Reza Chowdhury,Syed Gaosul Alam Shaon,2h 27min,17 November,2016 (France,Dhaka; Bangladesh,173,"Ayna is an actor and the prison is his stage. He slips into the characters of the powerful convicted in exchange of money and take their place in prison. This strange profession is borne out of a society that doesn't give him a chance to follow his passion of acting, but forces him to act in the real life. Falling in love with the girl next door changes his life equation and he decides to end this career with one last performance. But this one takes him too deep in the rabbit hole. The story unfolds on how an underdog survives in a society that is merciless and struggles his way out from the clutch of crime game in which he is a part too.",xxx,xxx,xxx,xxx,147 min,xxx,xxx,xxx
Love on a Leash,9.1,xxx,6.943,Comedy; Drama;,Fen Tian,Fen Tian,1h 30min,2011 (USA),,Color,119,"Love takes a furry twist in this slice of romantic comedy. A young woman falls for a stray dog with a secret: by night, it becomes a man. Follow the journey of the golden retriever and the friend who gives him a home.",xxx,xxx,xxx,xxx,90 min,xxx,xxx,xxx
C/o Kancharapalem,9.0,xxx,5.016,Drama,Venkatesh Maha,Venkatesh Maha,2h 32min,7 September,2018 (India,IMDbPro,124,Four unconventional love stories set in the town and including the people of Kancherapalem.,xxx,xxx,xxx,xxx,152 min,xxx,xxx,xxx
Natsamrat,9.0,xxx,5.545,Drama; Family,Mahesh Manjrekar,Abhijeet Shirish Deshpande,2h 46min,1 January 2,16 (India,xxx,64,"The film is a tragedy about a veteran theatre actor named Ganpat ""Appa"" Belwalkar (Nana Patekar) who has been the best of his lot during his heyday, garnering fame and fortune acting in plays based on various works, especially William Shakespeare's. It is a tragedy of a veteran actor who enjoyed a very vital importance in his life but who becomes the victim of old age alienation and estrangement. The film reveals an intensely tragic fate of an actor who becomes victim of fate and fortune in old age, which is similar to the fate of Lear. Natsamrat suffers the pangs of old age and dishonor inflicted on him by his own children. It is a tragedy of great humanist and actor who succumbs to the ill fate and destiny. In fact, Natsamrat is a story of Ganpatrao Belvalkar, who withstands great suffering after his retirement from stage acting.",xxx,xxx,xxx,xxx,166 min,xxx,xxx,xxx
The Dark Knight : Le Chevalier noir,9.0,84,2.350.355,Action; Crime;,Christopher Nolan,Jonathan Nolan,2h 32min,13 August 2,08 (France,Times Square; Causeway Bay; Hong Kong,7379,"Set within a year after the events of Batman Begins (2005), Batman, Lieutenant James Gordon, and new District Attorney Harvey Dent successfully begin to round up the criminals that plague Gotham City, until a mysterious and sadistic criminal mastermind known only as ""The Joker"" appears in Gotham, creating a new wave of chaos. Batman's struggle against The Joker becomes deeply personal, forcing him to ""confront everything he believes"" and improve his technology to stop him. A love triangle develops between Bruce Wayne, Dent, and Rachel Dawes.",xxx,xxx,xxx,xxx,152 min,"Dolby Digital
| SDDS
| DTS
| IMAX 6-Track
(IMAX version)","Color
(Technicolor)",2.39 : 1
Tosun Pasa,9.0,xxx,21.935,Comedy; History,Kartal Tibet,Nazim Hikmet,1h 30min,1 February ,976 (Turkey,Arzu Film,30,"Late 19th century in Alexandria. Two traditionally rival Turkish families, ""Seferoglu""s and ""Tellioglu""s are competing for the ""Green Valley"". The winner will be determined by Daver Bey, who has a beautiful young daughter, Leyla. Both families try to arrange a marriage between a man from their family and Leyla, so that Daver Bey will be inclined to give the green valley to his ""relatives"". Tellioglus, who are behind in the race, desperately find a final solution: They will fake their idiotic butler, Saban, as the highest ranked Ottoman soldier in Egypt: Tosun Pasha.",xxx,xxx,xxx,xxx,90 min,xxx,xxx,xxx
Hababam Sinifi Sinifta Kaldi,9.0,xxx,22.162,Comedy,Ertem Egilmez,Rifat Ilgaz,1h 31min,January 197, (Turkey,IMDbPro,4,A young and beautiful female teacher starts working in an all boys high school.,xxx,xxx,xxx,xxx,91 min,xxx,xxx,xxx
Maratonci trce pocasni krug,9.0,xxx,14.733,Comedy; Drama,Slobodan Sijan,Dusan Kovacevic,1h 32min,4 March 198, (Yugoslavia,Centar Film,13,"The Topalovic family has been in the burial business for generations. When the old (150 yrs old) Pantelija dies, five generations of his heirs start to fight for the inheritance.",xxx,xxx,xxx,xxx,92 min,xxx,xxx,xxx
Al-risâlah,9.0,xxx,8.070,Biography; Dram,Moustapha Akkad,H.A.L. Craig,3h 27min,9 September,1977 (Portugal,Filmco International Productions,27,"The story of prophet ""Muhammad"" and the delivery of the message of God ""Allah.""",xxx,xxx,xxx,xxx,207 min,xxx,xxx,xxx
"Le parrain, 2ème partie",9.0,90,1.150.887,Crime; Drama,Francis Ford Coppola,Francis Ford Coppola,3h 22min,27 August 1,75 (France,2045 N. Hibiscus Drive; North Miami; Florida; USA,1125,"The continuing saga of the Corleone crime family tells the story of a young Vito Corleone growing up in Sicily and in 1910s New York; and follows Michael Corleone in the 1950s as he attempts to expand the family business into Las Vegas, Hollywood and Cuba.",xxx,xxx,xxx,xxx,202 min,Mono,Color,1.85 : 1
12 Hommes en colère,9.0,96,704.715,Crime; Drama,Sidney Lumet,Reginald Rose,1h 36min,4 September,1957 (France,xxx,1778,"The defense and the prosecution have rested, and the jury is filing into the jury room to decide if a young man is guilty or innocent of murdering his father. What begins as an open-and-shut case of murder soon becomes a detective story that presents a succession of clues creating doubt, and a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, AND each other. Based on the play, all of the action takes place on the stage of the jury room.",xxx,xxx,xxx,xxx,96 min,xxx,xxx,xxx
Peranbu,8.9,xxx,13.334,Drama,Ram,Ram,2h 27min,1 February ,019 (India,xxx,385,"Peranbu is an upcoming Indian Tamil drama film written and directed by Ram and produced by P. L. Thenappan. The film features Mammootty and Anjali in the lead roles. Featuring music composed by Yuvan Shankar Raja, the film began production in early 2016.",xxx,xxx,xxx,xxx,147 min,xxx,xxx,xxx
Süt Kardesler,8.9,xxx,18.820,Comedy; Family;,Ertem Egilmez,Sadik Sendil,1h 20min,1976 (Turke,,Arzu Film,3,"Saban, Ramazan and Bayram are sailors in an Ottoman Navy and Hüsamettin is their commander. Hüsamettin's aide Ramazan, Saban who is foster son of Hüsamettin's sister and Bayram who is married to Hüsamettin's niece stays at Hüsamettin's family residence. Hüsamettin's sister thinks Ramazan is her foster son Saban when she realizes her mistake she introduces Ramazan to her brother as her son in law Bayram since she was afraid of Hüsamettin's short-tempered character. Things get complicated when real Saban and Bayram come to the residence. Now Saban has to be Ramazan and Bayram has to be Saban. Meanwhile, a gulyabani (a ghoul from Turkish folklore) haunts the residence.",xxx,xxx,xxx,xxx,80 min,xxx,xxx,xxx
Le Seigneur des anneaux : Le Retour du roi,8.9,94,1.669.506,Action; Adventu,Peter Jackson,J.R.R. Tolkien,3h 21min,17 December,2003 (France,Dry Creek Quarry; Wellington; New Zealand,3849,"The final confrontation between the forces of good and evil fighting for control of the future of Middle-earth. Frodo and Sam reach Mordor in their quest to destroy the One Ring, while Aragorn leads the forces of good against Sauron's evil army at the stone city of Minas Tirith.",xxx,xxx,xxx,xxx,201 min,"DTS-ES
| Dolby Digital EX
| SDDS
| Dolby Atmos",Color,2.39 : 1
