Country Name,manufact_2018,manufact_2017,manufact_2016,manufact_2015,manufact_2014
China,"$3,868,457,703,815","$3,460,325,198,695","$3,153,118,068,886","$3,202,504,408,572","$3,184,235,114,106"
United States,"$2,317,176,890,000","$2,179,910,378,000","$2,095,858,073,000","$2,118,871,486,000","$2,042,339,457,000"
Japan,"$1,027,967,141,296","$1,011,711,724,282","$1,020,385,521,042","$913,595,688,636","$957,049,502,679"
Germany,"$795,959,796,744","$752,017,462,365","$716,450,036,038","$682,923,395,869","$785,499,345,003"
South Korea,"$459,473,148,569","$437,574,429,997","$395,395,892,604","$389,984,153,400","$401,396,044,373"
India,"$395,688,247,275","$395,099,150,356","$347,942,711,531","$327,820,066,001","$307,206,175,076"
Italy,"$313,919,556,364","$292,579,742,874","$277,449,838,226","$264,284,513,478","$301,765,722,054"
France,"$275,756,420,903","$263,051,910,347","$254,122,868,567","$254,394,410,479","$293,214,790,420"
United Kingdom,"$252,866,386,366","$239,432,918,823","$245,126,319,256","$272,370,684,297","$287,297,166,829"
Russia,"$217,523,491,261","$193,827,583,400","$149,387,640,111","$168,840,117,315","$233,427,028,925"
Mexico,"$214,451,526,894","$202,128,907,669","$185,289,548,331","$201,111,578,403","$209,347,408,162"
Indonesia,"$207,028,409,787","$204,748,965,608","$191,248,955,504","$180,657,039,862","$187,740,777,950"
Brazil,"$184,446,531,392","$221,073,196,716","$193,692,320,912","$189,609,546,425","$253,878,453,039"
Spain,"$158,329,390,175","$148,801,604,565","$138,920,486,735","$135,053,279,766","$154,884,223,653"
Turkey,"$148,194,979,270","$151,111,825,083","$144,327,896,258","$144,307,516,211","$157,475,231,919"
Thailand,"$135,427,450,155","$123,360,273,190","$112,217,138,292","$109,851,172,487","$112,317,748,262"
Switzerland,"$128,316,564,689","$124,314,343,407","$121,496,766,878","$121,978,081,436","$130,220,332,503"
Ireland,"$123,950,327,020","$106,262,591,140","$99,486,833,221","$100,760,686,540","$51,525,599,406"
Netherlands,"$101,067,267,904","$92,162,779,420","$85,021,032,506","$82,662,074,211","$92,311,480,228"
Saudi Arabia,"$100,748,315,734","$88,773,671,033","$83,242,736,859","$82,990,698,796","$81,650,339,307"
Poland,"$98,258,160,977","$88,546,556,241","$84,932,788,881","$83,505,239,422","$89,708,987,161"
Australia,"$82,923,029,223","$77,097,066,144","$73,469,937,400","$85,025,376,487","$93,305,792,711"
Singapore,"$77,410,587,189","$63,009,486,567","$55,933,116,178","$55,715,885,947","$56,672,480,467"
Malaysia,"$77,241,132,810","$69,713,859,874","$65,664,453,873","$67,181,922,929","$77,328,057,686"
Austria,"$76,837,080,987","$70,261,695,639","$67,434,226,962","$63,725,490,950","$73,194,626,824"
Sweden,"$72,383,856,539","$70,578,760,348","$68,024,476,392","$68,720,206,042","$76,021,184,165"
Philippines,"$66,240,722,746","$64,054,407,653","$62,419,996,152","$61,068,601,864","$61,207,490,950"
Belgium,"$66,163,684,984","$62,489,218,021","$58,786,874,931","$58,662,201,842","$67,180,622,381"
Argentina,"$66,133,559,874","$82,610,822,686","$75,199,976,820","$84,344,878,154","$77,752,039,861"
Iran,"$61,247,529,951","$53,417,893,827","$49,721,490,355","$47,635,608,782","$59,496,622,875"
Czech Republic,"$56,504,358,431","$51,450,669,481","$47,166,322,853","$44,980,659,586","$49,648,368,060"
Bangladesh,"$49,212,333,210","$43,201,609,118","$37,707,553,113","$32,751,122,557","$28,720,955,218"
Algeria,"$46,158,662,093","$40,386,712,341","$34,362,826,345","$38,035,865,021","$65,858,972,195"
Denmark,"$45,760,261,825","$43,206,817,963","$40,498,995,737","$37,541,887,296","$41,865,752,967"
Puerto Rico,"$45,654,400,000","$47,067,000,000","$50,543,700,000","$49,519,600,000","$47,876,200,000"
Romania,"$45,160,163,385","$42,204,441,703","$37,925,453,291","$34,807,324,562","$42,084,826,227"
Israel,"$44,314,760,930","$42,639,578,400","$38,540,384,492","$39,075,003,216","$39,330,275,229"
South Africa,"$43,292,982,416","$41,986,118,727","$35,640,432,938","$38,183,315,426","$42,271,048,080"
Egypt,"$40,437,248,694","$38,762,887,228","$55,987,595,092","$54,995,808,625","$51,261,936,872"
Finland,"$40,372,110,872","$38,673,505,395","$35,046,204,534","$34,426,541,875","$39,678,625,991"
Vietnam,"$39,225,645,461","$34,308,986,384","$29,283,700,778","$26,463,842,087","$24,539,530,925"
Pakistan,"$38,327,225,176","$36,543,620,429","$33,663,584,202","$34,609,781,049","$33,092,404,258"
Nigeria,"$38,324,701,247","$32,847,731,915","$35,122,397,632","$45,897,943,560","$52,676,705,530"
Colombia,"$37,143,435,202","$35,584,666,073","$34,781,194,214","$36,394,359,799","$46,759,860,344"
UAE,"$36,874,130,174","$35,300,307,309","$32,078,420,694","$31,635,125,936","$31,297,735,848"
Chile,"$31,400,783,281","$28,801,413,800","$27,487,705,379","$28,443,871,833","$29,490,424,137"
Hungary,"$29,880,663,924","$27,400,344,953","$25,213,426,951","$25,303,912,005","$27,413,844,842"
Portugal,"$29,713,289,029","$27,321,113,317","$25,070,734,863","$24,194,133,179","$27,072,721,074"
Peru,"$28,733,037,181","$27,369,421,868","$25,606,648,692","$26,170,393,167","$28,029,587,883"
Norway,"$25,611,312,634","$25,498,730,606","$24,202,264,752","$26,519,293,169","$33,927,691,087"
Greece,"$20,939,578,813","$19,229,809,170","$17,944,065,998","$17,021,350,259","$19,926,541,759"
Kazakhstan,"$20,496,091,450","$18,815,956,086","$15,553,825,403","$18,946,666,258","$22,846,198,234"
Slovak Republic,"$20,039,641,877","$17,160,462,580","$16,623,116,221","$17,257,026,949","$19,486,257,206"
Myanmar,"$18,859,448,804","$16,701,747,510","$15,447,232,602","$14,455,419,208","$13,043,923,898"
Morocco,"$18,511,841,979","$17,219,149,814","$16,197,297,986","$16,327,335,293","$18,152,932,919"
Ukraine,"$15,127,185,162","$13,530,564,057","$11,407,286,518","$10,835,214,034","$16,324,968,242"
Qatar,"$15,102,077,245","$12,963,920,707","$12,860,941,766","$14,419,966,676","$20,915,613,276"
Ecuador,"$15,000,385,000","$14,983,046,000","$14,541,423,000","$14,321,156,000","$14,002,443,000"
Sri Lanka,"$13,988,987,245","$13,438,834,601","$13,496,106,346","$13,107,796,200","$13,470,050,125"
Cuba,"$13,052,000,000","$13,075,000,000","$12,655,000,000","$12,990,000,000","$12,169,000,000"
Belarus,"$12,761,385,944","$11,836,878,332","$9,617,159,228","$11,654,715,559","$16,619,913,928"
Dominican Republic,"$12,093,709,823","$11,276,407,003","$10,915,710,592","$10,462,971,355","$9,772,344,455"
Slovenia,"$10,996,665,766","$10,000,463,076","$9,022,042,117","$8,591,914,825","$9,798,001,647"
Guatemala,"$10,219,209,756","$10,122,811,552","$9,373,420,440","$8,908,997,492","$8,143,679,289"
Kuwait,"$9,615,465,641","$9,054,731,289","$7,880,503,145","$7,994,017,946","$9,013,703,443"
